https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BUSD,tradecount
1691452800000,2023-08-08,ADABUSD,0.2906,0.3022,0.2893,0.297,13691406.4,4049783.09363,15574
1691366400000,2023-08-07,ADABUSD,0.2918,0.2956,0.28,0.2906,12781512.0,3700546.68184,15196
1691280000000,2023-08-06,ADABUSD,0.2936,0.2955,0.2904,0.2919,5310683.2,1556701.14825,6675
1691193600000,2023-08-05,ADABUSD,0.2932,0.2938,0.29,0.2936,6719660.1,1960228.75847,8493
1691107200000,2023-08-04,ADABUSD,0.292,0.297,0.2901,0.2932,11911588.0,3496676.74312,11915
1691020800000,2023-08-03,ADABUSD,0.299,0.3012,0.289,0.2922,17328570.0,5121159.21544,15274
1690934400000,2023-08-02,ADABUSD,0.3103,0.3119,0.2976,0.2992,16854009.5,5111889.74012,15391
1690848000000,2023-08-01,ADABUSD,0.3072,0.3104,0.295,0.3102,23224508.0,7057687.79515,20887
1690761600000,2023-07-31,ADABUSD,0.3156,0.3189,0.3065,0.3072,14382411.0,4485633.13673,14606
1690675200000,2023-07-30,ADABUSD,0.313,0.3181,0.3052,0.3156,14182994.6,4433906.62724,14743
1690588800000,2023-07-29,ADABUSD,0.3099,0.3144,0.3089,0.313,10098767.3,3146743.68306,8412
1690502400000,2023-07-28,ADABUSD,0.3077,0.3132,0.3063,0.3099,8258342.9,2562543.99528,8654
1690416000000,2023-07-27,ADABUSD,0.3068,0.3134,0.3053,0.3076,10126407.6,3131682.78627,11225
1690329600000,2023-07-26,ADABUSD,0.3037,0.3106,0.3003,0.3068,20564616.6,6254947.93889,17700
1690243200000,2023-07-25,ADABUSD,0.3053,0.3077,0.3015,0.3036,15153464.1,4610595.02845,13316
1690156800000,2023-07-24,ADABUSD,0.317,0.3189,0.3,0.3053,22758253.0,6989297.01811,21258
1690070400000,2023-07-23,ADABUSD,0.31,0.319,0.3072,0.3171,14865388.4,4683007.38148,14054
1689984000000,2023-07-22,ADABUSD,0.3128,0.3148,0.3065,0.31,17034205.0,5300616.33605,14984
1689897600000,2023-07-21,ADABUSD,0.3161,0.3184,0.3105,0.3128,17778454.7,5584545.41928,16101
1689811200000,2023-07-20,ADABUSD,0.3227,0.3327,0.3131,0.3161,40838268.9,13202622.93829,37114
1689724800000,2023-07-19,ADABUSD,0.3095,0.326,0.307,0.3226,44089239.8,14021265.7275,40175
1689638400000,2023-07-18,ADABUSD,0.3118,0.3141,0.2996,0.3094,32368630.2,9921003.73379,25888
1689552000000,2023-07-17,ADABUSD,0.3146,0.3198,0.3056,0.312,31982810.2,10007687.47579,26023
1689465600000,2023-07-16,ADABUSD,0.3262,0.3278,0.3121,0.3148,37556928.8,12044762.77358,27322
1689379200000,2023-07-15,ADABUSD,0.3277,0.3376,0.3242,0.3263,26731176.0,8840455.41325,21583
1689292800000,2023-07-14,ADABUSD,0.3567,0.3792,0.3165,0.3279,106993876.6,37289492.36903,98806
1689206400000,2023-07-13,ADABUSD,0.2889,0.3671,0.2858,0.3566,120253444.2,39489219.71995,116721
1689120000000,2023-07-12,ADABUSD,0.2927,0.2953,0.285,0.289,20365992.4,5940165.21933,14921
